"","essround","cntry","polintr","trstprl","trstplt","trstep","vote","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","clsprty","stfdem","gndr","eisced","uempla","uempli","dsbld","mainact","pdjobev","wrkctra","mbtru"
"25566",7,"IE","Hardly interested","No trust at all","No trust at all","1","Yes","No","No","No","No","No","No","No","No","1","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Don't know","No"
"25621",7,"IE","Hardly interested","No trust at all","5","No trust at all","No","Yes","No","No","No","Yes","No","No","Yes","Don't know","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"25655",7,"IE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","Yes, previously"
"25656",7,"IE","Not at all interested","No trust at all","No trust at all","3","No","No","No","No","No","Yes","No","No","No","1","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"25658",7,"IE","Not at all interested","No trust at all","No trust at all","No trust at all","No","No","No","No","Yes","Yes","Yes","Yes","No","Extremely dissatisfied","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25674",7,"IE","Not at all interested","2","1","4","Yes","No","No","No","No","Yes","Yes","No","No","4","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"25683",7,"IE","Not at all interested","Don't know","Don't know","7","No","No","No","No","No","No","No","No","No","Don't know","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25686",7,"IE","Not at all interested","Don't know","5","6","No","No","No","No","No","No","No","No","No","7","Female","Don't know","Marked","Not marked","Not marked","Not applicable","Refusal","Not applicable","No"
"25689",7,"IE","Hardly interested","Don't know","8","7","Yes","No","No","No","No","No","No","No","Yes","8","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Marked","Not marked","Not applicable","Refusal","Not applicable","No"
"25699",7,"IE","Quite interested","6","7","7","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25706",7,"IE","Quite interested","6","5","7","No","No","No","No","No","No","No","No","No","5","Male","Refusal","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Refusal"
"25714",7,"IE","Not at all interested","7","5","5","No","No","No","No","No","No","No","No","No","8","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"25716",7,"IE","Not at all interested","6","5","5","No","No","No","No","No","No","No","No","No","2","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"25719",7,"IE","Quite interested","5","5","5","Yes","Yes","No","No","No","No","No","No","Yes","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"25774",7,"IE","Quite interested","5","5","5","Yes","Yes","No","No","No","No","No","No","No","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, previously"
"25777",7,"IE","Quite interested","4","2","4","Not eligible to vote","No","No","No","No","No","No","No","No","8","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"25780",7,"IE","Hardly interested","4","No trust at all","2","Not eligible to vote","No","Refusal","No","No","No","No","No","No","3","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","No"
"25787",7,"IE","Quite interested","6","5","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"25791",7,"IE","Hardly interested","No trust at all","No trust at all","No trust at all","No","No","No","No","No","Yes","Yes","No","Yes","Extremely dissatisfied","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"25793",7,"IE","Quite interested","3","No trust at all","5","Yes","No","No","No","No","No","No","No","Yes","Extremely dissatisfied","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, previously"
"25802",7,"IE","Not at all interested","8","3","Don't know","Yes","No","No","No","No","No","No","No","No","6","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"25804",7,"IE","Not at all interested","6","6","4","No","No","No","No","No","No","No","No","No","4","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25806",7,"IE","Quite interested","6","7","6","No","No","No","No","No","No","No","No","Yes","3","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"25812",7,"IE","Not at all interested","6","2","3","No","No","No","No","No","No","No","No","No","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"25815",7,"IE","Not at all interested","6","2","5","Yes","No","No","No","No","No","No","No","Refusal","3","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"25816",7,"IE","Not at all interested","5","1","8","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"25820",7,"IE","Don't know","5","Don't know","5","No","No","No","No","No","No","No","No","No","Refusal","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"25822",7,"IE","Hardly interested","5","3","7","Yes","No","No","No","No","No","No","No","No","4","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"25828",7,"IE","Hardly interested","5","3","6","Yes","No","No","No","No","No","No","No","Don't know","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25832",7,"IE","Quite interested","2","No trust at all","5","No","No","No","No","No","Yes","Yes","No","No","5","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25834",7,"IE","Not at all interested","6","1","6","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","6","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"25835",7,"IE","Not at all interested","5","3","5","Yes","No","No","No","No","No","No","No","Yes","8","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"25849",7,"IE","Hardly interested","4","3","5","Yes","No","No","Yes","No","Yes","No","No","No","Extremely satisfied","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"25857",7,"IE","Very interested","6","6","7","Yes","Yes","No","No","No","No","No","Yes","Yes","6","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"25861",7,"IE","Hardly interested","5","6","6","No","No","No","Yes","No","No","No","No","No","5","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"25865",7,"IE","Very interested","6","5","7","Yes","No","No","No","No","Yes","No","No","No","6","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25879",7,"IE","Quite interested","6","5","5","Yes","No","No","No","No","Yes","No","No","No","5","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"25880",7,"IE","Not at all interested","3","Don't know","3","No","No","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Not applicable","No"
"25887",7,"IE","Hardly interested","5","4","4","Yes","No","No","No","No","No","No","No","No","4","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","Yes, currently"
"25898",7,"IE","Very interested","4","3","7","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"25927",7,"IE","Quite interested","7","6","7","Yes","No","No","No","No","No","No","No","No","6","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"25930",7,"IE","Quite interested","5","6","8","Yes","No","No","No","No","No","No","No","No","6","Female","Other","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"25953",7,"IE","Refusal","7","7","5","Yes","No","No","Yes","Yes","Yes","No","Yes","No","8","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"25955",7,"IE","Not at all interested","5","5","5","Yes","No","No","No","No","No","No","No","Refusal","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"25956",7,"IE","Hardly interested","3","3","8","Yes","No","No","No","Yes","Yes","No","No","No","8","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"25976",7,"IE","Not at all interested","2","3","3","No","No","No","No","No","No","No","No","No","2","Female","ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"26005",7,"IE","Hardly interested","2","3","6","Yes","No","No","No","No","No","No","No","No","4","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"26009",7,"IE","Quite interested","4","5","8","Not eligible to vote","No","No","No","No","No","No","No","Don't know","7","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"26010",7,"IE","Hardly interested","4","6","6","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"26024",7,"IE","Very interested","2","1","No trust at all","Yes","No","No","No","No","Yes","No","No","Yes","3","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, previously"
"26031",7,"IE","Very interested","5","3","5","No","Yes","No","No","Yes","Yes","No","Yes","No","5","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"26063",7,"IE","Not at all interested","4","No trust at all","4","No","No","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","Yes, previously"
"26064",7,"IE","Not at all interested","5","3","6","Not eligible to vote","No","No","No","No","No","No","No","No","6","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"26076",7,"IE","Quite interested","7","6","5","Yes","Yes","No","No","No","No","No","Yes","No","7","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"26080",7,"IE","Not at all interested","3","2","2","Don't know","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not applicable","Yes","No contract","Yes, previously"
"26086",7,"IE","Not at all interested","1","1","Don't know","Yes","Yes","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"26103",7,"IE","Quite interested","3","1","4","No","No","No","No","No","No","No","No","No","1","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"30943",7,"NL","Hardly interested","4","5","6","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"30944",7,"NL","Quite interested","8","7","5","Yes","No","No","Yes","No","No","No","No","Yes","8","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"30954",7,"NL","Very interested","8","7","7","Yes","No","No","No","No","No","No","Yes","Yes","7","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"30960",7,"NL","Quite interested","7","6","3","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"30989",7,"NL","Very interested","6","5","5","Yes","Yes","No","No","No","No","No","Yes","No","6","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Paid work","Not applicable","Not applicable","Yes, previously"
"31000",7,"NL","Quite interested","7","4","No trust at all","Yes","No","No","Yes","No","Yes","No","No","No","Extremely satisfied","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31045",7,"NL","Quite interested","6","6","6","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"31053",7,"NL","Hardly interested","7","5","Don't know","Not eligible to vote","No","No","No","No","No","No","No","No","8","Male","Other","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"31054",7,"NL","Not at all interested","5","4","6","No","No","No","No","No","No","No","No","No","Don't know","Male","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"31082",7,"NL","Quite interested","6","6","5","Yes","No","No","Yes","No","No","No","No","No","7","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31104",7,"NL","Hardly interested","7","6","5","No","No","No","No","No","No","No","No","No","6","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31108",7,"NL","Hardly interested","6","6","5","Yes","No","No","Yes","No","No","No","No","Don't know","6","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"31116",7,"NL","Quite interested","5","4","6","Yes","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31185",7,"NL","Quite interested","6","5","4","Yes","No","No","Yes","No","No","No","No","Yes","8","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"31188",7,"NL","Quite interested","6","5","No trust at all","Yes","No","No","No","No","Yes","No","Yes","Yes","Extremely dissatisfied","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31196",7,"NL","Quite interested","6","4","7","Yes","No","No","No","No","Yes","No","Yes","Yes","6","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31220",7,"NL","Very interested","8","8","6","Yes","No","No","No","No","No","No","No","Yes","7","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"31231",7,"NL","Quite interested","3","1","2","Yes","No","No","Yes","No","Yes","No","No","Yes","2","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"31242",7,"NL","Hardly interested","2","4","3","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","Yes, currently"
"31243",7,"NL","Quite interested","7","7","6","Yes","No","No","No","No","Yes","No","No","Yes","7","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Paid work","Not applicable","Not applicable","No"
"31275",7,"NL","Quite interested","7","1","No trust at all","Yes","No","No","No","No","No","No","No","No","4","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31293",7,"NL","Not at all interested","No trust at all","No trust at all","No trust at all","No","No","No","No","No","No","No","No","No","6","Female","Refusal","Not marked","Not marked","Not marked","Not applicable","Refusal","Not applicable","No"
"31296",7,"NL","Hardly interested","1","1","1","No","No","No","No","No","No","No","No","No","Extremely dissatisfied","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"31299",7,"NL","Very interested","9","9","7","Yes","Yes","No","No","No","No","No","No","Yes","8","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31301",7,"NL","Not at all interested","3","3","3","No","No","No","No","No","No","No","No","No","5","Male","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"31303",7,"NL","Quite interested","7","7","7","Yes","Yes","Yes","No","Yes","No","No","No","Yes","6","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Marked","Not marked","Not applicable","Not applicable","No contract","No"
"31308",7,"NL","Not at all interested","Don't know","Don't know","Don't know","Not eligible to vote","No","No","No","No","No","No","No","No","Don't know","Male","ES-ISCED I , less than lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","Refusal","No"
"31319",7,"NL","Not at all interested","Don't know","Don't know","Don't know","Not eligible to vote","No","No","No","No","No","No","No","No","6","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"31324",7,"NL","Not at all interested","4","5","3","No","No","No","No","No","No","No","No","No","5","Male","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"31326",7,"NL","Hardly interested","6","6","6","Yes","No","No","No","No","Yes","No","No","No","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31332",7,"NL","Hardly interested","6","6","5","No","No","No","No","No","No","No","Yes","No","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31338",7,"NL","Not at all interested","6","7","5","Not eligible to vote","No","No","No","No","No","No","No","No","7","Female","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"31339",7,"NL","Very interested","9","8","5","Yes","Yes","Yes","Yes","No","No","No","No","Yes","9","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31347",7,"NL","Hardly interested","1","1","1","No","No","No","Yes","Yes","No","No","Yes","No","2","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Marked","Not marked","Not applicable","Yes","Limited","Yes, previously"
"31355",7,"NL","Quite interested","6","6","7","Yes","No","No","Yes","No","No","No","No","Yes","6","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31357",7,"NL","Not at all interested","No trust at all","No trust at all","No trust at all","No","No","No","No","No","No","No","No","No","2","Male","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"31359",7,"NL","Not at all interested","6","6","6","No","No","No","No","No","No","No","No","No","6","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"31372",7,"NL","Not at all interested","2","2","3","No","No","No","No","No","No","No","No","No","5","Male","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"31381",7,"NL","Quite interested","7","6","5","Yes","No","No","No","No","Yes","No","No","No","4","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"31388",7,"NL","Not at all interested","5","Don't know","Don't know","Not eligible to vote","No","No","No","No","No","No","No","No","7","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"31391",7,"NL","Quite interested","7","6","6","Yes","No","No","Yes","No","Yes","No","No","Yes","8","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31399",7,"NL","Quite interested","6","6","6","Yes","No","No","Yes","No","Yes","No","No","No","7","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","Yes, previously"
"31401",7,"NL","Quite interested","8","7","6","Yes","No","No","No","No","No","No","No","Yes","6","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31407",7,"NL","Hardly interested","7","6","4","Yes","No","No","No","No","Yes","No","No","Yes","4","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"31412",7,"NL","Quite interested","6","5","5","Yes","Yes","No","Yes","No","No","No","No","No","7","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"31413",7,"NL","Hardly interested","7","6","7","Yes","No","No","No","No","No","No","No","Yes","8","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"31428",7,"NL","Not at all interested","3","7","Don't know","Yes","No","No","No","No","No","No","No","Yes","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31431",7,"NL","Quite interested","5","5","5","Yes","No","No","No","No","Yes","No","No","Yes","6","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31445",7,"NL","Quite interested","5","4","2","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31450",7,"NL","Quite interested","8","6","5","Not eligible to vote","No","No","No","No","No","No","No","Yes","8","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31455",7,"NL","Quite interested","7","6","3","Yes","Yes","No","No","No","Yes","No","No","No","7","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"31466",7,"NL","Very interested","8","7","7","Yes","No","No","Yes","No","No","No","No","Yes","6","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"31477",7,"NL","Very interested","6","4","7","Yes","Yes","Yes","No","No","No","No","No","Yes","4","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"31479",7,"NL","Not at all interested","8","6","6","Yes","No","No","No","No","No","No","Yes","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"31484",7,"NL","Not at all interested","5","6","7","Yes","No","No","No","No","No","No","No","No","4","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","No"
"31487",7,"NL","Quite interested","5","5","6","No","No","No","No","No","No","No","No","No","8","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"31491",7,"NL","Quite interested","7","7","5","No","Don't know","No","No","Yes","No","No","No","No","3","Male","ES-ISCED II, lower secondary","Not marked","Marked","Marked","Permanently sick or disabled","Yes","Not applicable","No"
"31496",7,"NL","Hardly interested","6","6","6","Yes","No","No","No","No","No","No","No","Yes","4","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"31519",7,"NL","Not at all interested","7","6","8","Yes","No","No","No","No","Yes","No","No","Yes","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31522",7,"NL","Hardly interested","5","6","7","No","No","No","Yes","No","No","No","No","Yes","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31527",7,"NL","Not at all interested","Don't know","3","Don't know","No","No","No","No","No","No","No","No","Yes","Don't know","Male","ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31542",7,"NL","Hardly interested","4","5","4","Yes","No","No","No","No","No","No","No","No","4","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","Yes, previously"
"31544",7,"NL","Not at all interested","1","1","3","Yes","No","No","No","No","No","No","No","No","3","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, previously"
"31547",7,"NL","Quite interested","8","7","6","Yes","No","No","Yes","No","Yes","No","No","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31559",7,"NL","Quite interested","6","6","1","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31589",7,"NL","Hardly interested","2","3","Don't know","Yes","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"31595",7,"NL","Quite interested","7","1","2","Yes","No","No","Yes","No","No","No","No","No","4","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31614",7,"NL","Quite interested","7","5","7","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","6","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, previously"
"31622",7,"NL","Quite interested","8","7","7","Yes","No","No","No","No","Yes","No","No","No","Extremely satisfied","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
